1,Canada                                  ,Ontario                                 ,Sault Ste. Marie                        ,"Capeners  Avenue, 3157",CaSa1,GEO001
1491,Canada                                  ,British Columbia                        ,Langley                                 ,"Chantry   Pass, 4333",CaLa1491,GEO001
1492,Canada                                  ,Quebec                                  ,La Prairie                              ,"Elf  Pass, 1959",CaLa1492,GEO001
1494,Canada                                  ,Quebec                                  ,Laval                                   ,"Carolina  Avenue, 835",CaLa1494,GEO001
1495,Canada                                  ,Alberta                                 ,Leduc                                   ,"Canon Walk, 3752",CaLe1495,GEO001
1497,Canada                                  ,Saskatchewan                            ,Lloydminster                            ,"Anns  Vale, 3479",CaLl1497,GEO001
1498,Canada                                  ,Ontario                                 ,London                                  ,"Camden  Pass, 8080",CaLo1498,GEO001
1499,Canada                                  ,Quebec                                  ,Longueuil                               ,"King Hill, 4302",CaLo1499,GEO001
1500,Canada                                  ,Quebec                                  ,Magog                                   ,"St. Pauls  Pass, 6096",CaMa1500,GEO001
1501,Canada                                  ,British Columbia                        ,Maple Ridge                             ,"Black Swan  Road, 4436",CaMa1501,GEO001
1502,Canada                                  ,Ontario                                 ,Markham                                 ,"Thoresby   Drive, 9910",CaMa1502,GEO001
1504,Canada                                  ,Alberta                                 ,Medicine Hat                            ,"Garfield Road, 1094",CaMe1504,GEO001
1505,Canada                                  ,Ontario                                 ,Midland                                 ,"Catherine  Lane, 7325",CaMi1505,GEO001
1506,Canada                                  ,Ontario                                 ,Milton                                  ,"Cloth  Vale, 934",CaMi1506,GEO001
1507,Canada                                  ,Quebec                                  ,Mirabel                                 ,"Victoria Rise Walk, 7119",CaMi1507,GEO001
1509,Canada                                  ,Ontario                                 ,Mississauga                             ,"Ayres   Alley, 206",CaMi1509,GEO001
1511,Canada                                  ,Quebec                                  ,Montréal                               ,"Sheraton   Rue, 6431",CaMo1511,GEO001
1512,Canada                                  ,Quebec                                  ,Mont-Royal                              ,"Arthur  Walk, 4899",CaMo1512,GEO001
1513,Canada                                  ,Quebec                                  ,Mont-Saint-Hilaire                      ,"Bedford  Boulevard, 8119",CaMo1513,GEO001
1514,Canada                                  ,Saskatchewan                            ,Moose Jaw                               ,"Camdenhurst   Crossroad, 5742",CaMo1514,GEO001
1515,Canada                                  ,Newfoundland and Labrador               ,Mount Pearl                             ,"Queen Street, 1136",CaMo1515,GEO001
1517,Canada                                  ,Nova Scotia                             ,New Glasgow                             ,"Pine Drive, 4006",CaNe1517,GEO001
1518,Canada                                  ,Ontario                                 ,Newmarket                               ,"Camdale  Drive, 9642",CaNe1518,GEO001
1519,Canada                                  ,British Columbia                        ,New Westminster                         ,"Monroe Road, 6123",CaNe1519,GEO001
1521,Canada                                  ,Ontario                                 ,Norfolk County                          ,"North Route, 7040",CaNo1521,GEO001
1522,Canada                                  ,Saskatchewan                            ,North Battleford                        ,"Bermondsey    Route, 3697",CaNo1522,GEO001
1524,Canada                                  ,British Columbia                        ,North Cowichan                          ,"Chartham  Route, 8441",CaNo1524,GEO001
1525,Canada                                  ,British Columbia                        ,North Vancouver                         ,"Geffrye   Alley, 9243",CaNo1525,GEO001
1526,Canada                                  ,Ontario                                 ,North York                              ,"Carlisle  Street, 1828",CaNo1526,GEO001
1528,Canada                                  ,Ontario                                 ,Oakville                                ,"Blenkarne  Hill, 1336",CaOa1528,GEO001
1530,Canada                                  ,Ontario                                 ,Orillia                                 ,"Belfort  Route, 8071",CaOr1530,GEO001
1531,Canada                                  ,Ontario                                 ,Oshawa                                  ,"Durweston   Pass, 7923",CaOs1531,GEO001
1532,Canada                                  ,Ontario                                 ,Ottawa                                  ,"Caxton  Grove, 4686",CaOt1532,GEO001
1533,Canada                                  ,Ontario                                 ,Owen Sound                              ,"Bennett  Walk, 8109",CaOw1533,GEO001
1534,Canada                                  ,British Columbia                        ,Parksville                              ,"Hampden  Walk, 9566",CaPa1534,GEO001
1535,Canada                                  ,Ontario                                 ,Pembroke                                ,"Virginia Crossroad, 5962",CaPe1535,GEO001
1537,Canada                                  ,Ontario                                 ,Petawawa                                ,"Howard Pass, 7964",CaPe1537,GEO001
1538,Canada                                  ,Ontario                                 ,Peterborough                            ,"Union  Grove, 3268",CaPe1538,GEO001
1539,Canada                                  ,Ontario                                 ,Pickering                               ,"Beechen  Pass, 8556",CaPi1539,GEO001
1540,Canada                                  ,British Columbia                        ,Pitt Meadows                            ,"Blomfield  Drive, 9733",CaPi1540,GEO001
1541,Canada                                  ,Quebec                                  ,Pointe-Claire                           ,"Sundown Walk, 3715",CaPo1541,GEO001
1542,Canada                                  ,British Columbia                        ,Port Alberni                            ,"Bloomsbury  Route, 6213",CaPo1542,GEO001
1544,Canada                                  ,British Columbia                        ,Port Moody                              ,"Angela   Tunnel, 4311",CaPo1544,GEO001
1545,Canada                                  ,Saskatchewan                            ,Prince Albert                           ,"Meadow Rue, 4109",CaPr1545,GEO001
1546,Canada                                  ,Ontario                                 ,Prince Edward                           ,"Thorndike   Way, 7165",CaPr1546,GEO001
1548,Canada                                  ,Ontario                                 ,Quinte West                             ,"Bendmore  Way, 6299",CaQu1548,GEO001
1551,Canada                                  ,Saskatchewan                            ,Regina                                  ,"Norfolk  Boulevard, 7975",CaRe1551,GEO001
1552,Canada                                  ,Quebec                                  ,Repentigny                              ,"Howard Road, 9848",CaRe1552,GEO001
1553,Canada                                  ,British Columbia                        ,Richmond                                ,"Carlton  Boulevard, 4678",CaRi1553,GEO001
1554,Canada                                  ,Ontario                                 ,Richmond Hill                           ,"Elia   Avenue, 7103",CaRi1554,GEO001
1555,Canada                                  ,Quebec                                  ,Rouyn-Noranda                           ,"Byland  Hill, 4922",CaRo1555,GEO001
1556,Canada                                  ,Quebec                                  ,Saguenay                                ,"Apothecary   Road, 7376",CaSa1556,GEO001
1557,Canada                                  ,Quebec                                  ,Saint-Basile-le-Grand                   ,"Magnolia Road, 1360",CaSa1557,GEO001
1558,Canada                                  ,Quebec                                  ,Saint-Bruno-de-Montarville              ,"Yoakley Road, 7555",CaSa1558,GEO001
1559,Canada                                  ,Quebec                                  ,Saint-Constant                          ,"Dunton  Lane, 1486",CaSa1559,GEO001
1560,Canada                                  ,Quebec                                  ,Sainte-Catherine                        ,"Calverley  Boulevard, 9171",CaSa1560,GEO001
1561,Canada                                  ,Quebec                                  ,Sainte-Julie                            ,"Underwood  Hill, 8869",CaSa1561,GEO001
1562,Canada                                  ,Quebec                                  ,Sainte-Thérèse                        ,"Linda Lane Crossroad, 9679",CaSa1562,GEO001
1563,Canada                                  ,Quebec                                  ,Saint-Eustache                          ,"Earl Rise Hill, 6512",CaSa1563,GEO001
1564,Canada                                  ,Quebec                                  ,Saint-Hyacinthe                         ,"Boadicea   Crossroad, 2450",CaSa1564,GEO001
1565,Canada                                  ,Quebec                                  ,Saint-Jean-sur-Richelieu                ,"Thomas More   Hill, 7288",CaSa1565,GEO001
1567,Canada                                  ,New Brunswick                           ,Saint John                              ,"Carlisle  Way, 3900",CaSa1567,GEO001
1568,Canada                                  ,Quebec                                  ,Saint-Laurent                           ,"Dyott   Hill, 4206",CaSa1568,GEO001
1569,Canada                                  ,Quebec                                  ,Saint-Lazare                            ,"Bellenden  Avenue, 2664",CaSa1569,GEO001
1570,Canada                                  ,Quebec                                  ,Saint-Léonard                          ,"Caedmon  Tunnel, 1632",CaSa1570,GEO001
1571,Canada                                  ,Quebec                                  ,Salaberry-de-Valleyfield                ,"Chart   Crossroad, 431",CaSa1571,GEO001
1572,Canada                                  ,British Columbia                        ,Salmon Arm                              ,"Sheffield Rue, 9183",CaSa1572,GEO001
1573,Canada                                  ,Ontario                                 ,Sarnia                                  ,"Bacton   Vale, 7413",CaSa1573,GEO001
1575,Cyprus                                  ,Ammochostos                             ,Protaras                                ,"Battersea   Avenue, 1819",CyPr1575,GEO001
1576,Cyprus                                  ,Pafos                                   ,Paphos                                  ,"Queen Lane, 4707",CyPa1576,GEO001
1577,Cyprus                                  ,Lefkosia                                ,Nicosia                                 ,"Blanchard  Lane, 2529",CyNi1577,GEO001
1578,Cyprus                                  ,Limassol                                ,Limassol                                ,"Sheringham   Way, 6556",CyLi1578,GEO001
1579,Cyprus                                  ,Larnaka                                 ,Larnaca                                 ,"Clyde Pass, 365",CyLa1579,GEO001
1580,Cyprus                                  ,Keryneia                                ,Kyrenia                                 ,"Vintners  Grove, 3689",CyKy1580,GEO001
1581,Cyprus                                  ,Ammochostos                             ,Famagusta                               ,"Glenwood Way, 2966",CyFa1581,GEO001
1583,Czech Republic                          ,South Moravian                          ,Znojmo                                  ,"Parkfields Rue, 8930",CzZn1583,GEO001
1584,Czech Republic                          ,Zlín                                   ,Zlín                                   ,"Cecilia  Crossroad, 4709",CzZl1584,GEO001
1585,Czech Republic                          ,Vysočina                               ,Žďár nad Sázavou Druhy              ,"Bloomsbury  Way, 9135",CzŽď1585,GEO001
1586,Czech Republic                          ,Vysočina                               ,Žďár nad Sázavou                    ,"Bigland  Avenue, 599",CzŽď1586,GEO001
1587,Czech Republic                          ,Ústecký                               ,Žatec                                  ,"Central  Rue, 5835",CzŽa1587,GEO001
1588,Czech Republic                          ,South Moravian                          ,Vyškov                                 ,"Apollo  Road, 3004",CzVy1588,GEO001
1589,Czech Republic                          ,Zlín                                   ,Vsetín                                 ,"Ensign   Pass, 2398",CzVs1589,GEO001
1590,Czech Republic                          ,Ústecký                               ,Varnsdorf                               ,"Chalcot  Road, 9419",CzVa1590,GEO001
1591,Czech Republic                          ,Zlín                                   ,Valašské Meziříčí                 ,"Chantry   Route, 7064",CzVa1591,GEO001
1592,Czech Republic                          ,Pardubický                             ,Ústí nad Orlicí                      ,"Meadow Walk, 1404",CzÚs1592,GEO001
1593,Czech Republic                          ,Ústecký                               ,Ústí nad Labem                        ,"Epworth  Way, 9001",CzÚs1593,GEO001
1594,Czech Republic                          ,Zlín                                   ,Uherský Brod                           ,"Byland  Rue, 1922",CzUh1594,GEO001
1595,Czech Republic                          ,Zlín                                   ,Uherské Hradiště                     ,"Clifton  Street, 975",CzUh1595,GEO001
1596,Czech Republic                          ,Královéhradecký                      ,Trutnov                                 ,"Cephas  Walk, 9903",CzTr1596,GEO001
1599,Czech Republic                          ,Ústecký                               ,Teplice                                 ,"Bethwin  Lane, 5760",CzTe1599,GEO001
1600,Czech Republic                          ,Jihočeský                             ,Tábor                                  ,"Calvin   Hill, 8473",CzTá1600,GEO001
1601,Czech Republic                          ,Pardubický                             ,Svitavy                                 ,"Tiptree   Walk, 6748",CzSv1601,GEO001
1602,Czech Republic                          ,Olomoucký                              ,Šumperk                                ,"Callcott   Lane, 4828",CzŠu1602,GEO001
1603,Czech Republic                          ,Jihočeský                             ,Strakonice                              ,"Becklow  Lane, 7907",CzSt1603,GEO001
1604,Czech Republic                          ,Moravskoslezský                        ,Starý Bohumín                         ,"Tiptree   Way, 8932",CzSt1604,GEO001
1605,Czech Republic                          ,Karlovarský                            ,Sokolov                                 ,"Garfield Alley, 9722",CzSo1605,GEO001
1606,Czech Republic                          ,Central Bohemia                         ,Slaný                                  ,"East Street, 7990",CzSl1606,GEO001
1607,Czech Republic                          ,Zlín                                   ,Rožnov pod Radhoštěm                 ,"Parkfields Vale, 9612",CzRo1607,GEO001
1608,Czech Republic                          ,Central Bohemia                         ,Rakovník                               ,"Thomas More   Way, 3623",CzRa1608,GEO001
1609,Czech Republic                          ,Olomoucký                              ,Prostějov                              ,"Timothy  Lane, 1291",CzPr1609,GEO001
1610,Czech Republic                          ,Praha                                   ,Prosek                                  ,"Ensign   Hill, 9166",CzPr1610,GEO001
1611,Czech Republic                          ,Central Bohemia                         ,Příbram                               ,"Charterhouse  Street, 206",CzPř1611,GEO001
1612,Czech Republic                          ,Olomoucký                              ,Přerov                                 ,"Blore  Route, 8744",CzPř1612,GEO001
1613,Czech Republic                          ,Praha                                   ,Prague                                  ,"Lexington Way, 2879",CzPr1613,GEO001
1615,Czech Republic                          ,Jihočeský                             ,Písek                                  ,"Camberwell  Drive, 219",CzPí1615,GEO001
1616,Czech Republic                          ,Vysočina                               ,Pelhřimov                              ,"Collins  Walk, 1592",CzPe1616,GEO001
1617,Czech Republic                          ,Pardubický                             ,Pardubice                               ,"Bacton   Route, 6877",CzPa1617,GEO001
1618,Czech Republic                          ,Zlín                                   ,Otrokovice                              ,"Bermondsey    Walk, 4495",CzOt1618,GEO001
1619,Czech Republic                          ,Zlín                                   ,Otrokovice                              ,"Blackall   Avenue, 1691",CzOt1619,GEO001
1620,Czech Republic                          ,Karlovarský                            ,Ostrov                                  ,"Bloomsbury  Tunnel, 229",CzOs1620,GEO001
1621,Czech Republic                          ,Moravskoslezský                        ,Ostrava                                 ,"Glenwood Crossroad, 3535",CzOs1621,GEO001
1623,Czech Republic                          ,Moravskoslezský                        ,Opava                                   ,"Thomas Doyle   Alley, 6706",CzOp1623,GEO001
1624,Czech Republic                          ,Olomoucký                              ,Olomouc                                 ,"Egerton  Crossroad, 5916",CzOl1624,GEO001
1625,Czech Republic                          ,Moravskoslezský                        ,Nový Jičín                           ,"Cavendish Way, 1108",CzNo1625,GEO001
1626,Czech Republic                          ,Central Bohemia                         ,Neratovice                              ,"Aylward   Road, 6767",CzNe1626,GEO001
1627,Czech Republic                          ,Královéhradecký                      ,Náchod                                 ,"Collins  Route, 886",CzNá1627,GEO001
1628,Czech Republic                          ,Ústecký                               ,Most                                    ,"North Alley, 1930",CzMo1628,GEO001
1629,Czech Republic                          ,Praha                                   ,Modřany                                ,"Bazely   Walk, 4375",CzMo1629,GEO001
1630,Czech Republic                          ,Central Bohemia                         ,Mladá Boleslav                         ,"Blomfield  Vale, 8750",CzMl1630,GEO001
1632,Czech Republic                          ,Ústecký                               ,Louny                                   ,"King William  Tunnel, 1642",CzLo1632,GEO001
1633,Czech Republic                          ,Ústecký                               ,Litvínov                               ,"Andsell    Boulevard, 7594",CzLi1633,GEO001
1634,Czech Republic                          ,Ústecký                               ,Litoměřice                            ,"Norfolk  Grove, 7101",CzLi1634,GEO001
1635,Czech Republic                          ,Liberecký                              ,Liberec                                 ,"Bayberry Pass, 5199",CzLi1635,GEO001
1636,Czech Republic                          ,Praha                                   ,Libeň                                  ,"Elf  Tunnel, 2050",CzLi1636,GEO001
1637,Czech Republic                          ,Praha                                   ,Letňany                                ,"Longmoore   Walk, 4730",CzLe1637,GEO001
1638,Czech Republic                          ,Central Bohemia                         ,Kutná Hora                             ,"Bolton  Drive, 8802",CzKu1638,GEO001
1639,Czech Republic                          ,Zlín                                   ,Kroměříž                            ,"Cliff  Route, 7652",CzKr1639,GEO001
1640,Czech Republic                          ,Moravskoslezský                        ,Krnov                                   ,"Wakley   Way, 4217",CzKr1640,GEO001
1641,Czech Republic                          ,Central Bohemia                         ,Kralupy nad Vltavou                     ,"North Boulevard, 9399",CzKr1641,GEO001
1642,Czech Republic                          ,Moravskoslezský                        ,Kopřivnice                             ,"Apollo  Route, 6693",CzKo1642,GEO001
1643,Czech Republic                          ,Central Bohemia                         ,Kolín                                  ,"Westcott  Tunnel, 3274",CzKo1643,GEO001
1644,Czech Republic                          ,Plzeňský                              ,Klatovy                                 ,"Blackpool  Way, 7240",CzKl1644,GEO001
1645,Czech Republic                          ,Ústecký                               ,Klášterec nad Ohří                  ,"Magnolia Pass, 8948",CzKl1645,GEO001
1647,Czech Republic                          ,Moravskoslezský                        ,Karviná                                ,"Erindale Vale, 5216",CzKa1647,GEO001
1649,Czech Republic                          ,Ústecký                               ,Kadaň                                  ,"Baynes  Street, 2326",CzKa1649,GEO001
1650,Czech Republic                          ,Ústecký                               ,Kadaň                                  ,"Blake  Boulevard, 8769",CzKa1650,GEO001
1651,Czech Republic                          ,Ústecký                               ,Jirkov                                  ,"Argyle  Boulevard, 6806",CzJi1651,GEO001
1652,Czech Republic                          ,Jihočeský                             ,Jindřichův Hradec                     ,"Longmoore   Way, 1676",CzJi1652,GEO001
1653,Czech Republic                          ,Vysočina                               ,Jihlava                                 ,"Berry  Rue, 3328",CzJi1653,GEO001
1654,Czech Republic                          ,Královéhradecký                      ,Jičín                                 ,"College  Lane, 196",CzJi1654,GEO001
1655,Czech Republic                          ,Liberecký                              ,Jablonec nad Nisou                      ,"Durweston   Route, 1310",CzJa1655,GEO001
1656,Czech Republic                          ,Olomoucký                              ,Hranice                                 ,"Cave   Hill, 2452",CzHr1656,GEO001
1657,Czech Republic                          ,Královéhradecký                      ,Hradec Králové                        ,"Bond Hill, 9023",CzHr1657,GEO001
1658,Czech Republic                          ,South Moravian                          ,Hodonín                                ,"Baynes  Avenue, 5119",CzHo1658,GEO001
1659,Czech Republic                          ,Vysočina                               ,Havlíčkův Brod                       ,"Kimberley  Pass, 697",CzHa1659,GEO001
1660,Czech Republic                          ,Moravskoslezský                        ,Havířov                               ,"Arundel   Route, 1793",CzHa1660,GEO001
1661,Czech Republic                          ,Moravskoslezský                        ,Frýdek-Místek                         ,"Udall   Pass, 9153",CzFr1661,GEO001
1662,Czech Republic                          ,Ústecký                               ,Děčín                                ,"Dunstans  Hill, 3079",CzDě1662,GEO001
1663,Czech Republic                          ,Pardubický                             ,Chrudim                                 ,"Caedmon  Hill, 841",CzCh1663,GEO001
1664,Czech Republic                          ,Ústecký                               ,Chomutov                                ,"Longleigh   Way, 7884",CzCh1664,GEO001
1666,Czech Republic                          ,Moravskoslezský                        ,Český Těšín                        ,"Blake  Route, 8399",CzČe1666,GEO001
1667,Czech Republic                          ,Jihočeský                             ,České Budějovice                     ,"Apostle  Rue, 6380",CzČe1667,GEO001
1668,Czech Republic                          ,Pardubický                             ,Česká Třebová                       ,"Bond Avenue, 7746",CzČe1668,GEO001
1669,Czech Republic                          ,Liberecký                              ,Česká Lípa                           ,"Elia   Drive, 8387",CzČe1669,GEO001
1670,Czech Republic                          ,Moravskoslezský                        ,Bruntál                                ,"Garfield Grove, 9045",CzBr1670,GEO001
1672,Czech Republic                          ,South Moravian                          ,Břeclav                                ,"Elystan  Grove, 1776",CzBř1672,GEO001
1673,Czech Republic                          ,Praha                                   ,Braník                                 ,"Sherlock   Grove, 8443",CzBr1673,GEO001
1674,Czech Republic                          ,Central Bohemia                         ,Brandýs nad Labem-Stará Boleslav      ,"Bacton   Rue, 9954",CzBr1674,GEO001
1675,Czech Republic                          ,Moravskoslezský                        ,Bohumín                                ,"Wakley   Tunnel, 9477",CzBo1675,GEO001
1676,Czech Republic                          ,South Moravian                          ,Blansko                                 ,"Angel  Route, 6648",CzBl1676,GEO001
1677,Czech Republic                          ,Ústecký                               ,Bílina Kyselka                         ,"King William  Route, 3833",CzBí1677,GEO001
1678,Czech Republic                          ,Ústecký                               ,Bílina                                 ,"Bazely   Tunnel, 7402",CzBí1678,GEO001
1679,Czech Republic                          ,Central Bohemia                         ,Beroun                                  ,"Fair Grove, 1926",CzBe1679,GEO001
1681,Czech Republic                          ,Praha                                   ,Černý Most                            ,"Fairfield  Crossroad, 1419",CzČe1681,GEO001
1682,Germany                                 ,Saxony                                  ,Zwickau                                 ,"Elizabeth  Way, 3763",GeZw1682,GEO001
1683,Germany                                 ,Rheinland-Pfalz                         ,Zweibrücken                            ,"Bayberry Crossroad, 4087",GeZw1683,GEO001
1684,Germany                                 ,North Rhine-Westphalia                  ,Zulpich                                 ,"Bolingbroke  Route, 9275",GeZu1684,GEO001
1685,Germany                                 ,Brandenburg                             ,Zossen                                  ,"Calvin   Grove, 9474",GeZo1685,GEO001
1686,Germany                                 ,Saxony                                  ,Zittau                                  ,"Cobden  Crossroad, 2578",GeZi1686,GEO001
1687,Germany                                 ,Bavaria                                 ,Zirndorf                                ,"Caslon   Crossroad, 6239",GeZi1687,GEO001
1688,Germany                                 ,Saxony-Anhalt                           ,Zerbst                                  ,"Sheffield Lane, 396",GeZe1688,GEO001
1689,Germany                                 ,Saxony-Anhalt                           ,Zeitz                                   ,"Birkenhead   Crossroad, 9639",GeZe1689,GEO001
1690,Germany                                 ,Berlin                                  ,Zehlendorf                              ,"Comet House  Way, 9643",GeZe1690,GEO001
1691,Germany                                 ,North Rhine-Westphalia                  ,Xanten                                  ,"Gavel   Drive, 9512",GeXa1691,GEO001
1692,Germany                                 ,Saxony                                  ,Wurzen                                  ,"Vincent  Route, 8309",GeWu1692,GEO001
1693,Germany                                 ,Bavaria                                 ,Würzburg                               ,"Spruce Drive, 6286",GeWü1693,GEO001
1694,Germany                                 ,North Rhine-Westphalia                  ,Würselen                               ,"Blomfield  Way, 4958",GeWü1694,GEO001
1696,Germany                                 ,Lower Saxony                            ,Wunstorf                                ,"Angela   Street, 8200",GeWu1696,GEO001
1698,Germany                                 ,Rheinland-Pfalz                         ,Wörth am Rhein                         ,"Caxton  Boulevard, 6152",GeWö1698,GEO001
1699,Germany                                 ,Rheinland-Pfalz                         ,Worms                                   ,"Cingworth  Boulevard, 9710",GeWo1699,GEO001
1700,Germany                                 ,Lower Saxony                            ,Wolfsburg                               ,"Sherlock   Rue, 7611",GeWo1700,GEO001
1701,Germany                                 ,Bavaria                                 ,Wolfratshausen                          ,"Jackson Lane, 2643",GeWo1701,GEO001
1702,Germany                                 ,Lower Saxony                            ,Wolfenbüttel                           ,"Bocking   Alley, 4347",GeWo1702,GEO001
1703,Germany                                 ,Saxony-Anhalt                           ,Wolfen                                  ,"Thomas  Rue, 938",GeWo1703,GEO001
1704,Germany                                 ,Hesse                                   ,Witzenhausen                            ,"Chestnut  Walk, 8444",GeWi1704,GEO001
1705,Germany                                 ,Brandenburg                             ,Wittstock                               ,"Cockspur  Tunnel, 2357",GeWi1705,GEO001
1706,Germany                                 ,Lower Saxony                            ,Wittmund                                ,"Bell    Lane, 7076",GeWi1706,GEO001
1707,Germany                                 ,Rheinland-Pfalz                         ,Wittlich                                ,"Howard Alley, 6342",GeWi1707,GEO001
1708,Germany                                 ,Brandenburg                             ,Wittenberge                             ,"Carpenter Walk, 7135",GeWi1708,GEO001
1709,Germany                                 ,Berlin                                  ,Wittenau                                ,"Collins  Road, 6493",GeWi1709,GEO001
1710,Germany                                 ,North Rhine-Westphalia                  ,Witten                                  ,"Camdale  Route, 586",GeWi1710,GEO001
1711,Germany                                 ,Mecklenburg-Vorpommern                  ,Wismar                                  ,"Tisbury  Pass, 3234",GeWi1711,GEO001
1712,Germany                                 ,North Rhine-Westphalia                  ,Wipperfürth                            ,"Apsley    Vale, 6949",GeWi1712,GEO001
1714,Germany                                 ,Lower Saxony                            ,Winsen                                  ,"Charterhouse  Avenue, 5313",GeWi1714,GEO001
1716,Germany                                 ,North Rhine-Westphalia                  ,Wilnsdorf                               ,"Bermondsey    Boulevard, 587",GeWi1716,GEO001
1717,Germany                                 ,Berlin                                  ,Wilmersdorf                             ,"Durnford  Walk, 3776",GeWi1717,GEO001
1718,Germany                                 ,North Rhine-Westphalia                  ,Willich                                 ,"Belmore  Alley, 5928",GeWi1718,GEO001
1720,Germany                                 ,Lower Saxony                            ,Wilhelmshaven                           ,"Sheffield Alley, 338",GeWi1720,GEO001
1722,Germany                                 ,Baden-Württemberg                      ,Wiesloch                                ,"Cedarne  Tunnel, 376",GeWi1722,GEO001
1723,Germany                                 ,Hesse                                   ,Wiesbaden                               ,"Birkenhead   Pass, 962",GeWi1723,GEO001
1724,Germany                                 ,North Rhine-Westphalia                  ,Wiehl                                   ,"Fair Lane, 1059",GeWi1724,GEO001
1725,Germany                                 ,Hesse                                   ,Wetzlar                                 ,"Caroline  Avenue, 5858",GeWe1725,GEO001
1727,Germany                                 ,Lower Saxony                            ,Westerstede                             ,"Victorian  Hill, 7448",GeWe1727,GEO001
1728,Germany                                 ,Berlin                                  ,Westend                                 ,"Ampton  Drive, 5662",GeWe1728,GEO001
1729,Germany                                 ,North Rhine-Westphalia                  ,Wesseling                               ,"Bingham   Way, 6885",GeWe1729,GEO001
1730,Germany                                 ,North Rhine-Westphalia                  ,Wesel                                   ,"Aspen Pass, 8905",GeWe1730,GEO001
1731,Germany                                 ,Baden-Württemberg                      ,Wertheim                                ,"Bellenden   Rue, 7087",GeWe1731,GEO001
1732,Germany                                 ,Saxony-Anhalt                           ,Wernigerode                             ,"Carltoun   Walk, 8393",GeWe1732,GEO001
1735,Germany                                 ,North Rhine-Westphalia                  ,Werl                                    ,"Church Crossroad, 9026",GeWe1735,GEO001
1736,Germany                                 ,North Rhine-Westphalia                  ,Werdohl                                 ,"Apostle  Rue, 5887",GeWe1736,GEO001
1737,Germany                                 ,Brandenburg                             ,Werder                                  ,"Besson  Road, 8510",GeWe1737,GEO001
1738,Germany                                 ,Saxony                                  ,Werdau                                  ,"King Drive, 5402",GeWe1738,GEO001
1740,Germany                                 ,North Rhine-Westphalia                  ,Wenden                                  ,"Berry  Route, 6602",GeWe1740,GEO001
1741,Germany                                 ,Bavaria                                 ,Wendelstein                             ,"Gate   Walk, 215",GeWe1741,GEO001
1742,Germany                                 ,Hesse                                   ,Weiterstadt                             ,"Hamilton  Road, 2158",GeWe1742,GEO001
1743,Germany                                 ,Saxony                                  ,Weißwasser                             ,"Western   Avenue, 6939",GeWe1743,GEO001
1744,Germany                                 ,Saxony-Anhalt                           ,Weißenfels                             ,"Fawn Lane, 7262",GeWe1744,GEO001
1745,Germany                                 ,Bavaria                                 ,Weißenburg in Bayern                   ,"Bendall   Hill, 3053",GeWe1745,GEO001
1746,Germany                                 ,Baden-Württemberg                      ,Weinstadt-Endersbach                    ,"Camberwell  Way, 1176",GeWe1746,GEO001
1749,Germany                                 ,Thuringia                               ,Weimar                                  ,"Howard Grove, 7337",GeWe1749,GEO001
1750,Germany                                 ,Bavaria                                 ,Weilheim                                ,"Garfield Walk, 5854",GeWe1750,GEO001
1751,Germany                                 ,North Rhine-Westphalia                  ,Weilerswist                             ,"Oxford Grove, 3368",GeWe1751,GEO001
1752,Germany                                 ,Baden-Württemberg                      ,Weil der Stadt                          ,"Balfour    Pass, 4668",GeWe1752,GEO001
1755,Germany                                 ,Berlin                                  ,Weißensee                              ,"Gathorne   Tunnel, 1154",GeWe1755,GEO001
1756,Germany                                 ,North Rhine-Westphalia                  ,Wegberg                                 ,"St. Jamess  Route, 4152",GeWe1756,GEO001
1757,Germany                                 ,Lower Saxony                            ,Weener                                  ,"Canon Alley, 5663",GeWe1757,GEO001
1758,Germany                                 ,Schleswig-Holstein                      ,Wedel                                   ,"Queen Alley, 9450",GeWe1758,GEO001
1759,Germany                                 ,Berlin                                  ,Wedding                                 ,"Collent   Tunnel, 669",GeWe1759,GEO001
1761,Germany                                 ,North Rhine-Westphalia                  ,Warstein                                ,"South Street, 7287",GeWa1761,GEO001
1762,Germany                                 ,North Rhine-Westphalia                  ,Warendorf                               ,"Ernest  Way, 4853",GeWa1762,GEO001
1763,Germany                                 ,Mecklenburg-Vorpommern                  ,Waren                                   ,"West Lane, 8083",GeWa1763,GEO001
1764,Germany                                 ,Lower Saxony                            ,Wardenburg                              ,"Howard Rue, 8712",GeWa1764,GEO001
1765,Germany                                 ,North Rhine-Westphalia                  ,Warburg                                 ,"Arthur  Drive, 5346",GeWa1765,GEO001
1766,Germany                                 ,Baden-Württemberg                      ,Wangen im Allgäu                       ,"Cheney  Street, 4632",GeWa1766,GEO001
1767,Germany                                 ,Brandenburg                             ,Wandlitz                                ,"Dunton  Lane, 557",GeWa1767,GEO001
1769,Germany                                 ,Lower Saxony                            ,Walsrode                                ,"Jackson Way, 3159",GeWa1769,GEO001
1770,Germany                                 ,Lower Saxony                            ,Wallenhorst                             ,"East Road, 4740",GeWa1770,GEO001
1771,Germany                                 ,Baden-Württemberg                      ,Waldshut-Tiengen                        ,"Argyle  Street, 5908",GeWa1771,GEO001
1772,Germany                                 ,Bavaria                                 ,Waldkraiburg                            ,"Burton  Street, 6460",GeWa1772,GEO001
1774,Germany                                 ,North Rhine-Westphalia                  ,Waldbröl                               ,"Cockspur  Pass, 4911",GeWa1774,GEO001
